,minat_bakat
0,pengembangan bisnis strategi pemasaran kewirausahaan analitis kreativitas adaptasi
1,pengembangan kurikulum pembelajaran inovatif manajemen sekolah berkomunikasi dengan anak anak empati organisasi
2,pengembangan agribisnis pengelolaan usaha petani inovasi dalam pertanian ketahanan pertanian analisis pasar kreativitas
3,budidaya ikan konservasi perairan pemasaran produk perikanan manajemen sumber daya perairan kemampuan pemasaran ketahanan terhadap perubahan lingkungan
4,inovasi dalam pertanian pengembangan varietas tanaman konservasi sumber daya alam observasi kemampuan analitis kreativitas
5,akuntansi forensik audit internal analisis keuangan ketelitian analitis matematika
6,etnografi arkeologi antropologi terapan observasi interkultural berpikir kritis manajemen waktu
7,arkeologi maritim arkeologi prasejarah konservasi budaya teliti kreativitas membaca peta
8,desain bangunan hunian desain bangunan komersial desain landskap kreativitas  visualisasi teliti menggambar
9,sastra klasik indonesia sastra modern indonesia kritik sastra analisis teks kreativitas  budaya indonesia sastra
10,sastra klasik inggris sastra amerika studi budaya inggris bahasa inggris analisis teks komunikasi interpersonal
11,bimbingan karir konseling remaja konseling keluarga empati ketahanan terhadap stres pendengar yang baik
12,ekologi mikrobiologi genetika teliti analitis kreativitas
13,pengembangan obat pemuliaan tanaman bioteknologi industri penelitian laboratorium kreativitas riset
14,budidaya ikan air tawar pengelolaan sumber daya perikanan konservasi lingkungan perairan observasi manajerial budidaya perairan
15,desain branding desain editorial desain web kreativitas visual perangkat lunak desain estetika
16,pembangunan ekonomi daerah kesejahteraan sosial kebijakan fiskal dan moneter analisis data penelitian kebijakan ekonomi
17,pengembangan obat pengelolaan rantai pasokan farmasi pelayanan kesehatan masyarakat komunikasi analitis empati
18,mempelajari rumus fisika observasi dan eksperimen inovasi teknologi fisika observasi memecahkan masalah fisika keterampilan fisika dan matematika
19,inovasi teknologi ilustrasi digital desain game imajinatif kreatif desain solutif memecahkan masalah
20,mempelajari elemen bumi inovasi peta geografi fisik dan murni analitis observasi kreatifitas penulisan penelitian
21,kombinasi formula makanan diet sehat olahraga dan gaya hidup sehat analitis kombinasi formula empati
22,prinsip fisika nuklir observasi dan eksperimen inovasi teknologi nuklir analitis teliti riset problem solving
23,pengembangan sdm pengembangan ekonomi negara inovasi teknologi administrasi riset manajemen manajemen ekonomi
24,mempelajari uu pengembangan aturan inovasi teknologi hukum analitis public speaking
25,pengembangan sda mempelajari eksplorasi kelautan inovasi teknologi pengembangan sda observasi kreatif  problem solving
26,sosialisasi olahraga pengembangan olahraga yang inovatif mempelajari kandungan dan gizi makanan komunikasi observasi olahraga dan kesehatan
27,sosialisasi kesehatan mempelajari kandungan dan gizi makanan pengambangan inovasi kesehatan empati komunikasi kesehatan dan gizi analisis
28,pengembangan teknologi komputer mempelajari bahasa komputer observasi hardware komputer eknologi matematika analisis
29,inovasi teknologi komunikasi public speaking menulis jurnal komunikasi teknologi menulis
30,konservasi lingkungan inovasi teknologi untuk lingkungan pengembangan sda empati observasi pengembangan sda
31,pengembangan sdm mempelajari uu observasi permasalahan negara berorganisasi aturan dan uu pengambangan sdm
32,multimedia inovasi teknologi observasi buku komunikasi observasi menulis
33,pengembangan peran politik sosialisasi politik mempelajari uu analisis berorganisasi aturan dan uu
34,observasi peninggalan bersejarah pengembangan teknologi penelitian bersejarah sosialisasi sejarah yang inovatif menulis observasi penelitian analisis
35,konservasi pertanahan inovasi teknologi pertanahan pengembangan nilai tanah penelitian observasi problem solving
36,mencari informasi menulis minat dalam berita komunikasi berfikir kritis problem solving
37,ilmu pengetahuan dan kesehatan menjaga kesehatan masyarakat menolong sesama komunikasi berfikir sistematis analisis
38,empati pada orang lain tertarik pada ilmu kesehatan menolong sesama klinis multitasking managemen waktu ketahanan emosi
39,kesehatan masyarakat ilmu sosial dan kesehatan menolong sesama riset managemen proyek ketahanan analisis data
40,kepedulian sosial pemberdayaan sistem sosial dan kebijakan mengelola konflik pemecahan masalah komunikasi
41,ilmu pengetahuan zat dan molekul kimia berfikir kritis pemecahan maslah komunikasi
42,akuntansi bisnis mengelola sdm analisis  organisasi pengembangan diri dan tim
43,promosi bisnis pemasaran penjualan digital marketing merek dan citra
44,lingkungan dan sda laut ekosistem laut memecakan masalah  analisis berfikir kritis
45,matematika penyelesaian masalah penerapan matematika ketahanan terhadap frustasi  komunikasi berfikir kritis
46,tertarik pada laut konservasi alam berlayar berenang  analisis teknologi
47,teknologi informasi solusi teknologi sistem komunikasi  analisis coding
48,teknologi pembelajaran digital pengembangan manusia komunikasi  analisis teliti akurasi
49,pendidikan pembelajaran digital keuangan organisasi  layanan pelanggan kolaborasi
50,analisis data perhitungan keuangan analisis penyelesaian masalah mengelola waktu
51,bahasa inggris hubungan internasional pada budaya dan sastra pengajaran bahasa inggris penerjemahan studi sastra inggris listening komunikasi budaya asing bahasa inggris
52,bahasa jerman pengembangan bahasa budaya luar pengajaran bahasa jerman  penerjemahan studi sastra jerman listening komunikasi budaya asing bahasa jerman
53,pengajaran bahasa mandarin penerjemahan studi sastra mandarin bahasa mandarin komunikasi listening bahasa mandarin budaya asing
54,ekologi genetika biologi molekuler observasi analisis presentasi
55,ekonomi makro ekonomi mikro pengajaran ekonomi analitis presentasi interpersonal
56,fisika mekanika fisika termal fisika modern analitis penelitian laboratorium kreativitas
57,geografi fisik geografi manusia geografi lingkungan observasi analitis kreativitas
58,biologi kimia fisika observasi analitis eksperimen
59,sosiologi sejarah antropologi analitis komunikasi presentasi
60,kimia anorganik kimia organik kimia fisik analitis penelitian laboratorium kreativitas
61,pendidikan inklusif pendidikan autisme pendidikan tunanetra pendidikan tunarungu empati kesabaran kreativitas
62,pendidikan informal pendidikan masyarakat pendidikan keterampilan hidup kreativitas organisasi adaptasi
63,matematika pemodelan matematika riset matematika analitis kreativitas teliti
64,farmasi klinis farmasi industri manajemen farmasi komunikasi klinis teliti
65,sejarah lokal sejarah dunia sejarah budaya penelitian analitis komunikasi
66,lukisan seni patung seni instalasi kreativitas artistik teliti
67,tarian tradisional musik klasik seni pertunjukan modern artistik koordinasi motorik kreativitas
68,manajemen bisnis administrasi perkantoran pemasaran komunikasi analitis organisasi
69,sepak bola bulu tangkis renang kesehatan dan kebugaran fisik olahraga instruksional motivasi
70,pengembangan pertanian pertanian organik konservasi tanah komunikasi pertanian penyuluhan
71,penelitian perikanan konservasi sumber daya laut pengelolaan perikanan navigasi nelayan ekologi laut
72,pengelolaan perpustakaan arsip sistem informasi organisasi teknologi informasi komunikasi
73,merawat hewan ternak bekerja di peternakan mengelola usaha pertanian perawatan hewan mengelola peternakan teliti
74,berinteraksi dengan anak anak merancang kegiatan pengembangan pendidikan anak usia dini komunikasi kreativitas peka dengan anak anak
75,mengajar anak usia dini berinteraksi dengan anak usia dini merancang pembelajaran perkembangan anak komunikasi kreativitas peka dengan anak anak
76,politik hukum isu kewarganegaraan pemahaman nilai nilai pancasila dan konstitusi sosial dan politik kepemimpinan analisi kewarganegaraan
77,ilmu pengetahuan dan kesehatan profesi medis penelitian penyakit memecahkan maslah ketangguhan mental empati komunikasi
78,pertanian tanaman lingkungan hidup pencegahan hama pertanian berkebun analisi tanaman identifikasi maslah tanamn
79,memahami perilaku manusia menagatasi pisikologis mengontrol emosi pemahaman emosi kepekaan emosi empati
80,literatur budaya bahasa indonesia karya sastra membaca menulis bahasa dan sastra analisis
81,literatur budaya bahasa inggris karya sastra membaca menulis bahasa dan sastra analisis
82,literatur budaya bahasa prancis karya sastra membaca menulis bahasa dan sastra analisis
83,struktur sosial pola pola interaksi manusia dinamika masyarakat isu sosial struktur sosial kepekaan isu sosial analisis
84,matematika analisis data penelitian ilmiah penggalian data matematika analisis data pola dalam data statistik
85,memasak menciptakan resep makanan eksplorasi masakan memasak kreativitas teliti
86,desain estetika sejarah dan budaya industri fashion desain komunikasi kreativitas jahit branding
87,mikrokontroler sistem embedded tenologi komunikasi dan jaringan pemrograman teknologi dan sains kreativitas inovasi matematika fisika analitis
88,elektronika praktis desain perakitan pemrograman mikrokontroler tenologi elektronika desain perakitan pemrograman mikrokontroler tenologi komunikasi analitis  kerja lapangan
89,eksplorasi alam sains dan matematika ilmu bumi tenologi komputer desain ilmu fisika matematika komunikasi analitis problem solving
90,sains dan matematika ilmu bumi tenologi analitis observasi kreatifitas pengolahan data laboratorium geologi kreativitas inovasi komunikasi analisis spasial pemecahan masalah
91,optimasi proses produksi analisis data dan statistik manajemen rantai pasokan kualitas dan pengendalian produksi pemodelan dan simulasi statistik analisis data manajemen proyek manajemen rantai pasokan komunikasi
92,pengembangan teknologi komputer mempelajari bahasa pemrograman observasi hardware komputer pengembangan perangkat lunak analisis data pengembangan web keamanan informasi pemrograman komunikasi
93,teknologi maritim pelayaran dan navigasi teknologi akuatik energi laut pemecahan masalah manajemen proyek kemampuan teknikal keselamatan maritim pelayaran dan navigasi komunikasi
94,kendaraan dan transportasi robotika otomatisasi mekanika dinamika desain dan rekayasa desain pemodelan dan simulasi komunikasi analitis manufaktur
95,rekayasa pertambangan teknologi dan mesin pertambangan konservasi lingkungan manajemen proyek geologi dan geofisika geologi analitis proses pertambangan komunikasi
96,konservasi lingkungan pembangunan infrastruktur pengelolaan limbah analisis risiko bencana pengelolaan limbah infrastruktur lingkungan analitis peraturan dan kebijakan lingkungan komunikasi
97,desain bangunan desain komersial desain landskap desain analisis struktur bahan konstruksi konstruksi komunikasi
98,kualitas produk pemeliharaan dan budidaya penelitian dan pengembangan teknologi pengolahan makanan kualitas dan keamanan pangan manajemen produksi pemrosesan dan pengawetan analitis
99,pendidikan digital desain instruksional analisis data pembelajaran penelitian teknologi pendidikan teknologi pembelajaran pendidikan desain pembelajaran manajemen kelas pelatihan dan pengembangan kolaborasi komunikasi
100,kritikalitas dan penalaran visual pengamatan visual kreativitas dan inovasi keterampilan artistik ekspresi kreatif kreativitas kemahiran desain kemampuan komunikasi visual
